Staff Member,Research Activity,Research Area,Special Focus
Sarah Jessica Parker,shopping for shoes,"Sex and the City, Manhattan",
Kevin Bacon,forming new social connections,"Footloose, A Few Good Men",
Hans Gruber,organizing armed robberies,"Die Hard, the Nakatomi building",Dagon Studies
Antonio Salieri,"composing classical music, burning with envy ","18th-Century Vienna, Classical music, Opera",
Saruman the White,"plotting with the enemy, devising evil schemes, building an army, preparing for war","Lord of the Rings, Middle Earth",Dagon Studies
Gandalf the Grey,"performing magic tricks, studying magic, blowing smoke rings, smoking herb","Lord of the Rings, Middle Earth",Dagon Studies
Sauron,"devising evil schemes, building an army, preparing for war","Lord of the Rings, Middle Earth, Mordor",Dagon Studies
Maleficent,poisoning an apple,"Sleeping Beauty, the Magic Forest",Dagon Studies
Norman Bates,"cross-dressing in women's clothes, spying on girls, slashing victims, running a hotel","Psycho, Hitchcock movies",Dagon Studies
Nigel Tufnel,"playing rock music, playing rock guitar, turning it up to 11, ","Spinal Tap, Heavy Metal",Dagon Studies
Judge Joe Dredd,"tracking down criminals, preventing crime, solving crimes, punishing criminals",Mega-City One,Dagon Studies
Wesley Crusher,studying science,"Star Trek, the U.S.S. Enterprise, Starfleet",Dagon Studies
Sarah Silverman,"doing stand-up, insulting minorities",Stand-Up Comedy,
Tweety Pie,swinging on a perch,"Merrie Melodies, Warner Bros animation",Dagon Studies
Sylvester the Cat,prowling for dinner,"Merrie Melodies, Warner Bros animation",Dagon Studies
Ronald McDonald,flipping hamburgers,"McDonalds, the Hamburger industry",Dagon Studies
The HamBurglar,stealing hamburgers,"McDonalds, the Hamburger industry",Dagon Studies
Osama Bin Laden,"plotting terrorist outrages, recruiting disaffected youths","Islamic Terrorism, the War on Terror",
Saddam Hussein,"suppressing minorities, attacking neighbors, amassing weapons","Islamic Terrorism, the War on Terror",
Ayatollah Khomeini,issuing fatwas,"Islamic Terrorism, ",
Leonardo DiCaprio,"starring in Hollywood movies, dating supermodels","Hollywood, Acting, Serious Acting",
Jay Gatsby,throwing lavish parties,The Great Gatsby,Dagon Studies
Michael J. Fox,throwing fund-raisers for Parkinson's disease,"Back To The Future, Family Ties, Spin City, Parkinson's",
Ellen Ripley,hunting aliens,"Alien, Outer Space",Dagon Studies
Clarice Starling,hunting serial killers,Silence of the Lambs,Dagon Studies
Scarlett O'Hara,attending cotillion balls,"Gone With The Wind, The American Civil War",Dagon Studies
Modesty Blaise,pulling capers,"Espionage, International Crime",Dagon Studies
Sarah Connor,"amassing weapons, preparing for the apocalypse","The Terminator, the Post-Apocalypse",Dagon Studies
Condoleezza Rice,advising on foreign affairs,"American politics, the War on Terror",
Donald Rumsfeld,"promoting new wars, writing hawkish memos, blanketing staff with memos, holding evasive press conferences, offering gnostic advice","American politics, the War on Terror",
Lisbeth Salander,hacking into corporate mainframes,"The Girl With The Dragon Tattoo, Scandinavian crime fiction",Dagon Studies
Princess Leia Organa,"leading the rebel alliance, smuggling military plans",Star Wars,Dagon Studies
Hermione Granger,"concocting magic potions, casting magic spells","Hogwarts, Teen fiction",Dagon Studies
Sydney Bristow,"kicking ass, spying for the CIA","Espionage, International Crime",Dagon Studies
Dana Scully,"explaining away the unexplained, investigating alien abductions","The X-Files, ",Dagon Studies
Marie Curie,extracting Radium from pitchblend,"Physics, Modern science,  Chemistry",
Tim Burton,"making bizarre movies,","Hollywood, Animation, Horror",
Coco Chanel,"designing haute couture, selling perfumes","Fashion, the Rag Trade, the Fashion industry",
Fox Mulder,"postulating bizarre theories, investigating alien abductions","The X-Files, ",Dagon Studies
Bruce Willis,"making action movies, starring in action movies","Hollywood, Acting, Action movies",
Robert Downey Jr.,"making movies, making Superhero movies","Hollywood, Acting, Action movies",
Michael Schumacher,"driving fast cars, racing fast cars","Formula One, Car Racing",
Oscar Pistorius,"running races, competing in the Olympics","Olympics, Racing, Running",
Bernard Madoff,"cheating clients, running Ponzi schemes, running pyramid schemes","Investment Funds, Investments, Finance",
Julian Assange,"leaking state secrets, leaking classified documents, hacking into computers, promoting openness, decrying secrecy","Espionage, Politics, Wikileaks",
Tom Ripley,"forging art, planning confidence tricks, cashing checks, climbing social ladders","Social Climbing, High Society",Dagon Studies
Mrs. Doubtfire,"performing household chores, looking after children, impersonating women","Housekeeping, Child Minding, Family life",Dagon Studies
Kim Jong-Il,"crushing dissent, amassing nuclear weapons, issuing threats, enriching uranium","Politics, Terrorism, Asian politics",
Kim Jung-un,"crushing dissent, amassing nuclear weapons, issuing threats, enriching uranium","Politics, Terrorism, Asian politics",
Simon Pegg,"dressing up in cosplay costumes, promoting nerd culture ","Nerd culture, Comedy",
Anne Boleyn,"climbing social ladders, seducing kings","Politics, British royalty, British history",
King Henry VIII,trading in wives,"Politics, British royalty, British history",
Angela Merkel,plotting election strategies,"Politics, European politics, Germany",
Silvio Berlusconi,"throwing Bunga Bunga parties, avoiding taxes, throwing sex parties","Politics, European politics, Italy",
Princess Fiona,waiting for a hero,"Fairy Tales, ",Dagon Studies
Victor Frankenstein,"creating monsters, playing God","Horror, Literature, Halloween",Dagon Studies
Count Dracula,"sucking blood, chasing virgins","Horror, Literature, Halloween",Dagon Studies
Jim Carrey,"gurning for the camera, pulling faces","Hollywood, Comedy",
General George Patton,"slapping soldiers, planning tank battles","War, World War II",
John F. Kennedy,chasing starlets,American politics,
Nicolas Sarkozy,partying on yachts,"French politics, ",
Dominique Strauss-Kahn,"throwing sex parties, planning orgies","French politics, ",
Alexander the Great,building empires,"War, the Ancient world",
Pocahontas,bridging cultures ,"American history, the New world",
Amelia Earhart,"flying airplanes, breaking records","Aviation, American history",
Charles Lindbergh,"flying airplanes, breaking records","Aviation, American history, American politics",
Frida Kahlo,"painting colorful pictures, painting self-portraits","Mexican art, Art",
Judy Garland,singing torch songs,"Music, Musicals",
Ella Fitzgerald,"singing torch songs, singing the blues","Music, Jazz, Blues music",
Sylvia Plath,writing poetry,"Modern poetry, Suicide",
Nicolas Cage,over-acting,"Hollywood, Acting, Action movies",
Malcolm X,fighting for civil rights,"American politics, Race Relations, Black liberation, the American Civil Rights movement",
Rosa Parks,fighting for civil rights,"American politics, Race Relations, Black liberation, the American Civil Rights movement",
Sean Penn,"starring in Hollywood movies, promoting social causes ","Hollywood, Acting, Action movies",
Mickey Rourke,getting plastic surgery,"Hollywood, Acting, Action movies, Plastic Surgery",
Elton John," shopping for shoes, peacocking in fancy clothes","Music, Pop music, Love songs",
Bradley Manning,"leaking state secrets, leaking classified documents","Espionage, Politics, Wikileaks",
Chelsea Manning,"leaking state secrets, leaking classified documents","Espionage, Politics, Wikileaks",
Tim Berners-Lee,promoting the Web,"The World Wide Web, The Internet, Computers",
Edward Snowden,"leaking state secrets, leaking classified documents","Espionage, Politics, The World Wide Web, The Internet, Computers",
Sergey Brin,"running a tech giant, building a search engine, performing Web searches","The World Wide Web, The Internet, Computers",
Larry Page,"running a tech giant, building a search engine, performing Web searches","The World Wide Web, The Internet, Computers",
Montgomery Burns,"releasing the hounds, counting money, amassing wealth","Nuclear Power, The Simpsons, Springfield",Dagon Studies
Waylon Smithers,"fawning on the boss, currying favour","Nuclear Power, The Simpsons, Springfield",Dagon Studies
Mayor Joe Quimby," embezzling tax money, taking bribes from organized crime, paying kickbacks to the police chief"," The Simpsons, Springfield",Dagon Studies
Chief Clarence Wiggum,"eating donuts, "," The Simpsons, Springfield",Dagon Studies
Lionel Hutz,"losing court cases, repairing shoes"," The Simpsons, Springfield",Dagon Studies
Troy McClure,"appearing in infomercials, hosting educational films"," The Simpsons, Springfield",Dagon Studies
Rainier Luftwaffe Wolfcastle,"making action movies, starring in action movies"," The Simpsons, Springfield",Dagon Studies
Krusty the Clown,"introducing cartoons, telling bad jokes, pushing shoddy merchandise"," The Simpsons, Springfield",Dagon Studies
Edna Krabappel,"smoking during recess, looking for love"," The Simpsons, Springfield",Dagon Studies
Kent Brockman,"reading the news, hosting anodyne game shows"," The Simpsons, Springfield",Dagon Studies
Hans Moleman,getting run over by cars," The Simpsons, Springfield",Dagon Studies
Selma Bouvier,"smoking Laramie Hi-Tars, watching MacGyver reruns, clipping coupons"," The Simpsons, Springfield",Dagon Studies
Principal Seymour Skinner,"disciplining students, looking after mother"," The Simpsons, Springfield",Dagon Studies
Nelson Muntz,"bullying schoolkids, stealing lunch money"," The Simpsons, Springfield",Dagon Studies
Groundskeeper Willie MacDougal,"cleaning floors, burying dead hamsters"," The Simpsons, Springfield",Dagon Studies
"Thomas ""Neo"" Anderson","hacking into corporate mainframes, nursing a messiah complex, bending spoons, performing kung-fu moves",The Matrix,Dagon Studies
Morpheus,"searching for the messiah, recruiting dissidents, raging against the machine",The Matrix,Dagon Studies
Trinity,hacking into corporate mainframes,The Matrix,Dagon Studies
Agent Smith,"fighting the resistance, ",The Matrix,Dagon Studies
Glenn Quagmire,"chasing women, exploiting women, looking for sex",Family Guy,Dagon Studies
Uri Geller,bending spoons,"Magic, Mentalism, Show Business",
Jeffrey Lebowski,"going bowling, drinking White Russians",Bowling,Dagon Studies
Iggy Pop,doing raunchy stage acts,"Music, Jazz, Blues music, Rock music, Punk rock music",
Mark Zuckerberg,"hanging out on Facebook, changing privacy settings","Facebook, Technology, Software, the Software business",
Roy Batty,"looking for immortality, avoiding retirement","Blade Runner, Science Fiction",Dagon Studies
Rick Deckard,retiring replicants,"Blade Runner, Science Fiction",Dagon Studies
Dr. Eldon Tyrell,"designing replicants, building replicants","Blade Runner, Science Fiction",Dagon Studies
Thor Odinson,"starting thunderstorms, smiting frost giants","Norse mythology,  Marvel Comics, The Avengers",Dagon Studies
Loki Laufeyson,"plotting against family members, devising evil schemes","Norse mythology,  Mythology, Marvel Comics",Dagon Studies
Richard B. Riddick,evading mercenaries,"The Chronicles of Riddick, Science Fiction",Dagon Studies
Alan Turing,"cracking enemy codes, designing computer systems, studying computability","Mathematics, Computers, Crypography, Artificial Intelligence",
Conan the Barbarian,"stealing jewels, fighting barbarian hordes, defending the weak, foiling the schemes of evil villains"," Mythology, Marvel Comics, The Hyborian Age, Movies",Dagon Studies
Red Sonja,"defending the weak, foiling the schemes of evil villains"," Mythology, Marvel Comics, The Hyborian Age, Movies",Dagon Studies
"Jeff ""Comic Book Guy"" Albertson","selling comic books, spouting movie trivia, being condescending to customers"," The Simpsons, Springfield",Dagon Studies
King Richard III,"grabbing power, amassing wealth, devising evil schemes","British politics, British royalty, Shakespeare",
Queen Elizabeth I,"ruling over subjects, running a kingdom","British politics, British royalty",
Dr. Henry Jekyll,suppressing violent urges,"Horror, Literature, Victorian literature",Dagon Studies
Mr. Edward Hyde,expressing violent urges,"Horror, Literature, Victorian literature",Dagon Studies
Travis Bickle,"expressing violent urges, talking to mirrors, planning assassinations",Taxi Driver,Dagon Studies
Tyler Durden,"stealing human fat, making soap, engaging in bare-knuckle fighting, subverting social conventions, attacking consumerism, causing mayhem","Fight Club, Consumerism",Dagon Studies
Sam Winchester,"hunting demons, hunting monsters, killing demons, killing monsters, drinking demon blood","Horror, Supernatural, Demonology",Dagon Studies
Dean Winchester,"hunting demons, hunting monsters, killing demons, killing monsters, eating bacon cheeseburgers","Horror, Supernatural, Demonology",Dagon Studies
Jesus Christ,"preaching tolerance, spreading Christianity, healing the sick, curing lepers, promoting charity",Christianity,
Lucifer,"burning the wicked, tempting the innocent, promoting wickedness, laughing at God","Christianity, Satanism",Dagon Studies
Eric Cartman,"executing morally appalling plans, making racist jibes",South Park,Dagon Studies
Agent Phil Coulson,"appreciating vintage collectibles, collecting Captain America trading cards, running a clandestine spy organization","S.H.I.E.L.D., Marvel Comics",Dagon Studies
Nick Fury,running a clandestine spy organization,"S.H.I.E.L.D., Marvel Comics",Dagon Studies
Russell Brand,"fomenting social revolution, doing stand-up, starring in comedies","British comedy, British humour, Comedy, Movies",
Jeremy Paxman,"interviewing politicians, deflating political egos, posing pointed questions, grilling interviewees","Politics, the News",
Boris Johnson,"making political gaffes, promoting conservative values, ranting about liberals, engaging in hapless hijinks","British politics, the British Right the Conservative Party",
Ebenezer Scrooge,"saving money, pinching pennies, terrorizing employees","A Christmas Carol, Victorian literature, Dickensian fiction",Dagon Studies
Wilkins Micawber,"incurring debts, buying on credit","David Copperfield, Victorian literature, Dickensian fiction",Dagon Studies
Fagin,"running a criminal enterprise, fencing stolen goods","Oliver Twist, Victorian literature, Dickensian fiction",Dagon Studies
The Artful Dodger,picking pockets,"Oliver Twist, Victorian literature, Dickensian fiction",Dagon Studies
Uriah Heap,"making patronising comments, practicing insincerity, cooking the books","David Copperfield, Victorian literature, Dickensian fiction",Dagon Studies
Bob Cratchit,"keeping accounts, writing in ledgers, performing office chores","A Christmas Carol, Victorian literature, Dickensian fiction",Dagon Studies
Tiny Tim Cratchit,"offering blessings, saying grace","A Christmas Carol, Victorian literature, Dickensian fiction",Dagon Studies
Jean-Paul Sartre,"popping amphetamines, smoking Boyard cigarettes, chain-smoking Gauloises Bleues","Continental philosophy, Modern philosophy, French philosophy",
Simone de Beauvoir,"promoting feminism, moaning about men","Continental philosophy, Modern philosophy, French philosophy",
Monica Lewinsky,"conducting illicit affairs, causing political scandals, doing diet commercials","American politics, the Clinton Era",
Colonel Kurtz,"waging a secret war, instilling fear in the enemy, ","American politics, Vietnam War, the Jungle",Dagon Studies
Jor El,"inventing new technologies, making escape plans","DC Comics, Krypton, Alien Science, Science Fiction",Dagon Studies
Kal El,reporting the news,"DC Comics, Metropolis, The Daily Planet, Science Fiction",Dagon Studies
General Zod,"devising evil schemes, striving for world domination, seeking revenge","DC Comics, Krypton, Science Fiction",Dagon Studies
Bridget Jones,"reading Cosmopolitan, drinking too much red wine, looking for love, keeping a diary, reading self-help books, smoking cigarettes, counting calories","British comedy, British humour, Comedy, Movies",Dagon Studies
Lizzy Bennet,"looking for love, disappointing suitors","Regency England, Literature, British culture, British class politics",Dagon Studies
Mr. Darcy,"looking for love, wooing potential brides, making condescending remarks","Regency England, Literature, British culture, British class politics",Dagon Studies
John Constantine,"smoking Silk Cut cigarettes, exorcising demons, practicing the Occult","DC Comics, Horror, Hellraiser",Dagon Studies
Hellboy,"smoking cigars, hunting demons, killing demons, battling the forces of darkness","Dark Horse Comics, Horror, B.P.R.D.",Dagon Studies
Charlie Harper,"composing advertizing jingles, dating young women, seducing young women","American comedy, American culture, Comedy, Two And A Half Men",Dagon Studies
Snake Plissken,"going on commando missions, organizing prison breaks","Escape From New York, Science Fiction, ",Dagon Studies
Severus Snape,"performing magic tricks, studying magic tricks, teaching magic, running a school for gifted teens, teaching Defence Against the Dark Arts, brewing magican potions, teaching the next generation","Hogwarts, Teen fiction",Dagon Studies
Borat,"interviewing celebrities, interviewing politicians, making documentaries","Borat!, Comedy, Documentaries",Dagon Studies
Ali G,"interviewing celebrities, interviewing politicians, posing as a street thug","Ali G Indahouse, Comedy",Dagon Studies
Jack Reacher,"solving mysteries, solving crimes, finding clues, interpreting evidence","Crime fiction, Detective fiction",Dagon Studies
Arthur Dent,"drinking tea, making sandwiches,","Science Fiction, British comedy, British humour, Comedy, The Hitchhikers Guide to The Galaxy",Dagon Studies
Del Boy Trotter,"selling dodgy goods, selling tat","Only Fools and Horses ,  British comedy, British humour, Comedy",Dagon Studies
Captain William Bligh,"barking orders at subordinates, cracking the whip","Mutiny on the Bounty, Politics, British history",
Fletcher Christian,"expressing dissent, plotting mutinies, undermining authority","Mutiny on the Bounty, Politics, British history",
Frank Underwood,"plotting election strategies, directing the business of state, manipulating political pawns, climbing social ladders, wielding political power",House of Cards,Dagon Studies
Napoleon Solo,"foiling the schemes of evil villains, rescuing damsels in distress",The Man from U.N.C.L.E,Dagon Studies
Quasimodo,"carving magnificent statues, hiding from the public","French history, French politics, pre-Revolutionary France, Literature,",Dagon Studies
Ilya Kuryakin,foiling the schemes of evil villains,The Man from U.N.C.L.E,Dagon Studies
Wolverine,"foiling the schemes of evil villains, slashing victims, punishing criminals","Marvel Comics, The X-Men",Dagon Studies
Deadpool,"foiling the schemes of evil villains, punishing criminals, undermining authority, making vulgar jokes,","Marvel Comics, The X-Men",Dagon Studies
Green Lantern,"foiling the schemes of evil villains, guarding the galaxy","DC Comics, Alien Science, Science Fiction",Dagon Studies
Superman,"reporting the news, foiling the schemes of evil villains, fighting for justice, defending the weak","DC Comics, Metropolis, The Daily Planet, Science Fiction",Dagon Studies
Ryan Reynolds,"starring in Hollywood movies, making dumb comedies","Hollywood, Comedy",
Coriolanus Snow,"running a bureaucracy, running an empire, crushing dissent","Science Fiction, The Hunger Games",Dagon Studies
Don Quixote,"tilting at windmills, going on romantic quests",Spanish literature,Dagon Studies
Baron Munchausen,"telling tall tales, inventing lies",German literature,Dagon Studies
Hunter S. Thompson,writing about manly pursuits,American politics,
Lando Calrissian,"running a criminal enterprise, fighting for the rebel alliance, ",Star Wars,Dagon Studies
Bob Woodward,"reporting the news, following the money","American politics,  the News, the Newspaper industry,",
Carl Bernstein,"reporting the news, following the money","American politics,  the News, the Newspaper industry,",
G. Gordon Liddy,"promoting conservative values, ranting about liberals, bugging political rivals, pulling dirty political tricks",American politics,
Anthony Scaramucci,"making political gaffes, promoting conservative values, ranting about liberals, managing hedge funds",American politics,
Melania Trump,posing for photographs,American politics,
Christiane Amanpour,"reporting the news, interviewing celebrities, interviewing politicians","American politics,  the News",
Bobby Kennedy,campaigning for social causes," the Law, American politics",
James Comey,"running a bureaucracy, chasing criminals, running the FBI, ordering wire-taps, blanketing staff with memos, "," the Law, American politics",
Robert Mueller,"chasing criminals, interpreting evidence, interviewing politicians, foiling the schemes of evil villains "," the Law, American politics",
Sean Hannity,"interviewing celebrities, interviewing politicians, promoting conservative values, ranting about liberals, spreading political gossip","the Right, the Republicans, American politics, Fox News",
Kellyanne Conway,offering advice,"the Right, the Republicans, American politics",
Harvey Weinstein,"chasing after women, seducing women, making movies",Hollywood,
Kevin Spacey,starring in Hollywood movies,Hollywood,
Stormy Daniels,starring in pornographic movies,"Pornography, Porn movies",
Deep Throat,"talking in riddles, offering advice","Watergate, American politics",
Gianni Versace,"flaunting foppish fashions, designing clothes, pushing haute couture, ","Fashion, the Rag Trade, the Fashion industry",
Reince Priebus,promoting conservative values,"the Right, the Republicans, American politics",
Mike  Pence,promoting conservative values,"the Right, the Republicans, American politics",
Tom Wolfe,"writing about social problems, writing serialized stories, writing modern fiction,","Politics, the News",
Steve Bannon,promoting conservative values,"the Right, the Republicans, American politics",
Jared Kushner,running a business empire,"the Right, the Republicans, American politics",
Ivanka Trump,running a business empire,"the Right, the Republicans, American politics",
Jeff Sessions,promoting conservative values,"the Right, the Republicans, American politics",
Ted Cruz,promoting conservative values,"the Right, the Republicans, American politics",
Thanos,"devising evil schemes, striving for world domination",Marvel Comics,Dagon Studies
Emmanuel Macron,"campaigning for the presidency, giving speeches",French politics,
Nigel Farage,promoting conservative values,"British politics, Brexit",
Elon Musk,"pioneering new technologies, developing new technologies, ","Technology, Space flight, the Motor industry, the Car industry",
Jeff Bezos,"selling consumer goods, running a business empire","Amazon, Technology",
Lars von Trier,making new wave movies,"Dogme, ",
Bjork,"writing pop songs, singing pop songs",,
El Chappo,"running a criminal enterprise, running a crime family, running a smuggling business", International Crime,
Pablo Escobar,"running a criminal enterprise, running a crime family, running a smuggling business", International Crime,
King David,"ruling over subjects, running a kingdom","the Old Testament, the Bible",
King Solomon,"ruling over subjects, running a kingdom","the Old Testament, the Bible",
Rick Sanchez,"pioneering new technologies, inventing electrical marvels",Rick and Morty,Dagon Studies
Morty Smith,"standing up to bullies, spying on girls",Rick and Morty,Dagon Studies
Barbie,promoting hair products,the Toy Industry,Dagon Studies
Johnny Carson,hosting a late night chat show,"Comedy, Late-night TV",
Billie Holiday,"singing jazz songs, singing torch songs","Jazz, Blues music, ",
James Brown,"singing blues songs, writing blues songs",Soul music,
Stevie Wonder,"singing pop songs, writing pop songs",Pop music,
Boy George,"singing pop songs, writing pop songs",Pop music,
Buddy Holly,"singing pop songs, writing pop songs",Pop music,
Cher,"singing pop songs, writing pop songs",Pop music,
Amy Schumer,"making vulgar jokes, starring in comedies, doing stand-up",Comedy,
Lucille Ball,"starring in sit-coms, starring in madcap comedies, ",Comedy,
Jerry Maguire,promoting greed," American sports, American football, ",Dagon Studies
Joe DiMaggio,"playing baseball,"," American sports, Baseball",
Katharine Hepburn,"starring in Hollywood movies, ","Hollywood, Serious Acting",
Janet Jackson,"singing pop songs, writing pop songs",Pop music,
Jayne Mansfield,"starring in Hollywood movies, ","Hollywood, Acting",
RuPaul,cross-dressing in women's clothes,,
Sammy Davis Jr.,"singing pop songs, writing pop songs","Easy Listening, the Rat Pack",
Ray Charles,"singing pop songs, writing pop songs, singing the blues, singing country music",Pop Music,
Lady Gaga,"singing pop songs, writing pop songs",Pop Music,
Whitney Houston,"singing pop songs, writing pop songs",Pop Music,
Rihanna,"singing pop songs, writing pop songs",Pop Music,
Rafael Nadal,"delivering forehand slams, winning tennis tournaments",Tennis,
Amy Winehouse,"singing jazz songs, singing torch songs",Pop Music,
Serena Williams,"delivering forehand slams, winning tennis tournaments",Tennis,
Tupac Shakur,"writing rap songs, producing Hipbop records, singing Hipbop songs","Rap music, Hip-Hop",
Christina Aguilera,"singing pop songs, writing pop songs",Pop Music,
Dr. Dre,"writing rap songs, producing Hipbop records, singing Hipbop songs","Rap music, Hip-Hop",
Princess Diana,posing for photographs,"Politics, British royalty, British history",
Ellen DeGeneres,interviewing celebrities,Comedy,
Katy Perry,"singing pop songs, writing pop songs",Pop Music,
Selena Gomez,"singing pop songs, writing pop songs",Pop Music,
Johnny Depp,starring in Hollywood movies,"Hollywood, Acting",
Cristiano Ronaldo,playing soccer,Soccer,
Pope Francis,promoting Catholic values,Catholicism,
Tom Brady,signing sports memorabilia,"American football, American sports",
Tyra Banks,"modeling clothes, selling cosmetics,","Fashion, the Rag Trade, the Fashion industry",
Zac Efron,"starring in Hollywood movies, making insipid musicals","Hollywood, Acting",
Novak Djokovic,"delivering forehand slams, winning tennis tournaments",Tennis,
Usain Bolt,"running races, competing in the Olympics","Olympics, Racing, Running",
Ashton Kutcher,starring in sit-coms,Comedy,
Ariana Grande,"singing pop songs, writing pop songs",Pop music,
Winona Ryder,starring in Hollywood movies,"Hollywood, Acting",
Conchita Wurst,"singing pop songs, cross-dressing in women's clothes",,
Scarlett Johansson,cross-dressing in women's clothes,"Hollywood, Acting",
Caitlyn Jenner,campaigning for social causes,,
Marc Jacobs,designing clothes,"Fashion, the Rag Trade, the Fashion industry",
LeBron James,"playing basketball, making dunk shots",Basketball,
Barbra Streisand,"singing torch songs, over-acting","Pop music, Acting, Hollywood",
Grace Jones,"singing pop songs, writing pop songs",Pop music,
Diana Ross,"singing pop songs, writing pop songs",Pop music,
Liza Minnelli,"singing torch songs, over-acting","Pop music, Acting, Hollywood",
Joan Crawford,starring in Hollywood movies,"Acting, Hollywood",
Bette Davis,starring in Hollywood movies,"Acting, Hollywood",
Kylie Minogue,"singing pop songs, writing pop songs",Pop music,
Bette Midler,"singing torch songs, over-acting","Acting, Hollywood",
George Michael,"singing pop songs, writing pop songs",Pop music,
Harvey Milk,campaigning for social causes,American politics,
Freddie Mercury,"singing pop songs, writing pop songs, cross-dressing in women's clothes",Pop music,
Morrissey,"singing pop songs, writing pop songs",Pop music,
Chris Rock,cross-dressing in women's clothes,Comedy,
Kylo Ren,"promoting the Dark Side, working for the forces of darkness, fighting the forces of good, duelling acrobatically",Star Wars,Dagon Studies
Taylor Swift,"singing pop songs, writing pop songs",Pop music,
Meghan Markle,racking up marriages,British royalty,
Martin Luther,"recruiting dissidents, raging against the machine","German history, Lutheranism",
Isaac Newton,"studying mathematics, proving math theorems","Physics, Astronomy, the Cosmos",
Ronald Reagan,promoting conservative values,"the Right, the Republicans, American politics",
Friedrich Nietzsche,"promoting humanism, teaching philosophy, spreading philosophy, ","Continental philosophy, Modern philosophy, German philosophy",
Galileo Galilei,"promoting Heliocentrism,","Physics, Astronomy, the Cosmos",
Oliver Cromwell," fighting with swords, spreading revolution, instigating rebellion, leading revolts","British history, British royalty",
Edgar Allan Poe,writing mystery stories,American literature,
Joseph Smith,"searching for the messiah, recruiting dissidents, racking up marriages",Mormonism,
Immanuel Kant,,"Continental philosophy, Modern philosophy, German philosophy",
Richard Wagner,"making antisemitic remarks, composing classical music","Classical music,  Piano music",
Pyotr Ilyich Tchaikovsky,composing classical music,"Classical music,  Piano music",
Socrates,"writing on wax tablets, teaching philosophy to future leaders, teaching the next generation","Ancient philosophy, Greek philosophy, the Ancient world, Ancient Greece",
Robert E. Lee,"winning battles, developing military strategies, leading armies into battle","American history, American politics",
King Arthur,"fighting with swords, leading armies into battle, ruling over subjects, running a kingdom","British royalty, British history",
Sir Lancelot,fighting with swords,British history,Dagon Studies
Merlin,"performing magic tricks, studying magic tricks, teaching magic, brewing magican potions, casting magic spells",British history,Dagon Studies
Morgana Le Fay,"performing magic tricks, studying magic tricks, teaching magic, brewing magican potions, casting magic spells",British history,Dagon Studies
Johann von Goethe,"writing poetry, writing about social problems,","German literature, Romantic poetry",
Thomas Aquinas,"teaching philosophy, spreading philosophy, ",Religious Iconology,
René Descartes,"teaching philosophy, spreading philosophy, ","Continental philosophy, Modern philosophy, French philosophy",
Harry S. Truman,"campaigning for the presidency, wielding political power",American politics,
Leon Trotsky,"wielding political power, promoting communism, launching cultural revolutions",Russian politics,
Joan of Arc,"fighting with swords, leading armies into battle","French politics, French history",
John Calvin,promoting conservative values,Religious Iconology,
William the Conqueror,"fighting with swords, leading armies into battle, ruling over subjects, running a kingdom",British history,
Saint Peter,promoting conservative values,Religious Iconology,
Saint Paul,promoting conservative values,Religious Iconology,
James Cook,"opening new markets, exploring foreign countries",British history,
Queen Victoria,"ruling over subjects, running a kingdom","British history, British royalty",
Thomas Jefferson,"campaigning for democracy, fighting for democracy, wielding political power","American history, American politics",
Johannes Gutenberg,pioneering new technologies,Printing,
Pythagoras,"studying mathematics, proving math theorems","Mathematics, Ancient Greece",
Archimedes,"studying mathematics, proving math theorems","Mathematics, Ancient Greece, Science",
Louis Pasteur,studying science,"Science, Chemistry",
Anne Frank,keeping a diary,"World War II, ",
J.R.R. Tolkein,making fantasy movies,English literature,
Otto von Bismarck,wielding political power,"German history, German politics",
Sophocles,writing plays,"the Ancient world, Ancient Greece",
Oedipus Rex,solving riddles,"the Ancient world, Ancient Greece",Dagon Studies
Gregor Mendel,tending the garden,"Science, Genetics",
Sitting Bull,"spreading revolution, instigating rebellion, leading revolts",American history,
George Armstrong Custer,"developing military strategies, leading armies into battle",American history,
Alexander Fleming,studying science,"Science, Biology",
Wernher von Braun,building rocket ships,"NASA, Space flight, the Moon",
Alfred Nobel,promoting pacifism,Chemistry,
Rembrandt,"painting colorful pictures, painting self-portraits",Painting,
Ferdinand Magellan,"searching for a new world, exploring the new world",,
Grace Hopper,pioneering new technologies,"Computer Science, Software, Technology",
Margaret Mead,bridging cultures ,Anthropology,
Sappho,writing poetry,Romantic poetry,
Harriet Tubman,"fighting for civil rights,",American history,
Catherine The Great,"ruling over subjects, running a kingdom","Russian politics, Russian history",
Annie Oakley,"promoting circus attractions, selling tickets, piquing public interest",American history,
Eleanor Roosevelt,campaigning for social causes,"American history, American politics",
Jane Goodall,living amongst apes,Anthropology,
Madeleine Albright, fighting for democracy,American politics,
Emmeline Pankhurst ," fighting for democracy, campaigning for social causes, promoting feminism,","British history, British politics",
Boudicca," spreading revolution, instigating rebellion, leading revolts",British history,
Natasha Romanova,"spying for the enemy, seducing miltary officers, kicking ass, foiling the schemes of evil villains",Marvel Comics. Espionage,Dagon Studies
Lady Macbeth,"manipulating political pawns, climbing social ladders, wielding political power","British politics, British royalty, Shakespeare",Dagon Studies
Lord Macbeth,"grabbing power, ","British politics, British royalty, Shakespeare",Dagon Studies
